epoch,accuracy
1,1.5914
2,0.9837
3,0.8260
4,0.7180
5,0.7220
6,0.7060
7,0.6902
8,0.6780
9,0.6603
10,0.5430
11,0.4894
12,0.3855
13,0.2712
14,0.2299
15,0.1878
16,0.1491
17,0.1177
18,0.1006
19,0.0856
20,0.0730
21,0.0667
22,0.0615
23,0.0583
24,0.0545
25,0.0520
26,0.0512
27,0.0499
28,0.0483
29,0.0488
30,0.0479
31,0.0477
32,0.0468
33,0.0474
34,0.0468
35,0.0467
36,0.0458
37,0.0462
38,0.0463
39,0.0453
40,0.0453
41,0.0449
42,0.0456
43,0.0454
44,0.0445
45,0.0457
46,0.0447
47,0.0450
48,0.0457
49,0.0445
50,0.0449
