epoch,accuracy
1,0.0795
2,0.1192
3,0.2583
4,0.2384
5,0.2848
6,0.2848
7,0.3510
8,0.3245
9,0.3642
10,0.3444
11,0.3841
12,0.3642
13,0.3510
14,0.3775
15,0.3841
16,0.3709
17,0.4371
18,0.4238
19,0.4238
20,0.4570
21,0.4570
22,0.5099
23,0.4768
24,0.4702
25,0.4702
26,0.4901
27,0.5166
28,0.5828
29,0.5695
30,0.5364
31,0.5364
32,0.5828
33,0.5695
34,0.5695
35,0.5894
36,0.5563
37,0.5695
38,0.5828
39,0.5894
40,0.6093
41,0.6026
42,0.6291
43,0.5894
44,0.5828
45,0.6291
46,0.6291
47,0.6093
48,0.6623
49,0.6623
50,0.6623
