epoch,accuracy
1,0.2119
2,0.3046
3,0.4106
4,0.4371
5,0.5099
6,0.6159
7,0.7020
8,0.5695
9,0.6954
10,0.6821
11,0.6954
12,0.6291
13,0.7152
14,0.6689
15,0.7152
16,0.6556
17,0.6954
18,0.8079
19,0.6954
20,0.7881
21,0.7285
22,0.8411
23,0.8079
24,0.8013
25,0.8477
26,0.8477
27,0.8808
28,0.8344
29,0.8609
30,0.8808
31,0.8808
32,0.8940
33,0.9338
34,0.8675
35,0.9007
36,0.9205
37,0.9470
38,0.9338
39,0.8013
40,0.9205
41,0.9338
42,0.9205
43,0.9338
44,0.9073
45,0.9205
46,0.9669
47,0.9536
48,0.9603
49,0.9404
50,0.9404
