epoch,accuracy
1,1.1819
2,0.5912
3,0.2960
4,0.1565
5,0.0826
6,0.0442
7,0.0304
8,0.0276
9,0.0236
10,0.0231
11,0.0226
12,0.0229
13,0.0220
14,0.0222
15,0.0219
16,0.0217
17,0.0219
18,0.0205
19,0.0207
20,0.0199
21,0.0206
22,0.0191
23,0.0192
24,0.0197
25,0.0180
26,0.0185
27,0.0176
28,0.0175
29,0.0171
30,0.0174
31,0.0167
32,0.0165
33,0.0163
34,0.0164
35,0.0157
36,0.0148
37,0.0143
38,0.0147
39,0.0174
40,0.0144
41,0.0141
42,0.0144
43,0.0133
44,0.0135
45,0.0145
46,0.0136
47,0.0132
48,0.0133
49,0.0133
50,0.0120
