epoch,accuracy
1,0.1250
2,0.1620
3,0.1852
4,0.2824
5,0.3148
6,0.3241
7,0.3843
8,0.3750
9,0.4167
10,0.4213
11,0.4120
12,0.4583
13,0.4120
14,0.4444
15,0.4444
16,0.4861
17,0.4259
18,0.4352
19,0.4722
20,0.5139
21,0.5370
22,0.5231
23,0.4583
24,0.4815
25,0.4861
26,0.5139
27,0.4398
28,0.5417
29,0.4907
30,0.5694
31,0.4907
32,0.5093
33,0.5602
34,0.6204
35,0.5787
36,0.5787
37,0.5509
38,0.5833
39,0.5463
40,0.5741
41,0.5741
42,0.5139
43,0.5787
44,0.5556
45,0.5185
46,0.5417
47,0.5093
48,0.5648
49,0.5602
50,0.6296
