epoch,accuracy
1,0.1250
2,0.2917
3,0.3704
4,0.4491
5,0.3472
6,0.4954
7,0.4954
8,0.4074
9,0.4306
10,0.6065
11,0.5972
12,0.5972
13,0.5972
14,0.6157
15,0.6157
16,0.6111
17,0.6389
18,0.6296
19,0.6435
20,0.6343
21,0.6852
22,0.6898
23,0.6620
24,0.6667
25,0.5787
26,0.6898
27,0.7037
28,0.6157
29,0.6759
30,0.7083
31,0.6250
32,0.6991
33,0.6157
34,0.6713
35,0.6759
36,0.6806
37,0.6898
38,0.6852
39,0.6898
40,0.6620
41,0.7083
42,0.7130
43,0.7361
44,0.6898
45,0.6944
46,0.7593
47,0.5602
48,0.5926
49,0.6991
50,0.7083
