epoch,accuracy
1,1.0693
2,0.6234
3,0.2943
4,0.1487
5,0.0790
6,0.0458
7,0.0308
8,0.0258
9,0.0243
10,0.0237
11,0.0235
12,0.0235
13,0.0241
14,0.0235
15,0.0232
16,0.0231
17,0.0231
18,0.0226
19,0.0222
20,0.0223
21,0.0224
22,0.0217
23,0.0216
24,0.0215
25,0.0204
26,0.0216
27,0.0205
28,0.0211
29,0.0202
30,0.0204
31,0.0200
32,0.0199
33,0.0205
34,0.0205
35,0.0199
36,0.0196
37,0.0194
38,0.0199
39,0.0195
40,0.0187
41,0.0189
42,0.0190
43,0.0185
44,0.0189
45,0.0192
46,0.0185
47,0.0184
48,0.0180
49,0.0186
50,0.0186
